Qty,DESIGNATOR,FOOTPRINT,COMMENT,Description,MF
2,"R3, R4",0805-R,47,"RESISTOR, European symbol",
2,"R5, R6",0603-R,270,"RESISTOR, American symbol",
16,"R1, R2, R17, R18, R21, R22, R43, R44, R45, R46, R57, R58, R61, R62, R76, R77",0603-R,1K,"RESISTOR, European symbol",
16,"R7, R8, R9, R10, R11, R12, R13, R14, R47, R48, R49, R50, R51, R52, R53, R54",0603-R,10k,"RESISTOR, European symbol",
16,"R15, R16, R29, R30, R31, R32, R41, R42, R55, R56, R69, R70, R71, R72, R83, R84",0603-R,33k,"RESISTOR, European symbol",
16,"R19, R20, R27, R28, R33, R34, R39, R40, R59, R60, R67, R68, R73, R74, R81, R82",0603-R,49.9k,"RESISTOR, European symbol",
1,R26,0603-R,50K,"RESISTOR, European symbol",
15,"R23, R24, R25, R35, R36, R37, R38, R63, R64, R65, R66, R75, R78, R79, R80",0603-R,80.6k,"RESISTOR, European symbol",
11,"C5, C10, C11, C12, C13, C14, C15, C16, C18, C19, C20, C8, C17, C9, C22",0603-C,100n,"CAPACITOR, European symbol",
1,C23,0603-C,330n,"CAPACITOR, American symbol",
2,"C1, C2",0603-C,470n,"CAPACITOR, American symbol",
1,C24,PANASONIC_C,10u,"POLARIZED CAPACITOR, American symbol",
3,"C6, C7, C21",PANASONIC_D,22u,"POLARIZED CAPACITOR, American symbol",
2,"C3, C4",PANASONIC_D,47u,"POLARIZED CAPACITOR, American symbol",
4,"D1, D2, D3, D6",SOD-123,1N4148,,
2,"D4, D5",SOD123,1N5819,DIODE,
1,IC3,SOT223,LM1117-5,800mA and 1A Low Dropout (LDO) Positive Regulator,
1,IC1,DBZ_R-PDSO-G3,LM4040C25,PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE,
1,IC2,DBZ_R-PDSO-G3,LM4040c50,PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE,
1,IC4,SOT223,UA78M08DCY,8V POSITIVE-VOLTAGE REGULATORS,
1,U5,SOIC127P1030X265-24,CD74HC4067SM96,16-channel analog MUX,
4,"U1, U2, U7, U8",SO14,MCP6004_SMD,Generic Quad Op Amp,
4,"U3, U4, U6, U9",SO14,TL074_SMD,Generic Quad Op Amp,
,,,,,
1,TENSY3.2,TEENSY_3.0-3.2&LC_DIL,TEENSY_3.1-3.2_DIL,Teensy 3.1 or 3.2 in a DIL Layout.,
34,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34",WQP_PJ_301M6,PJ301_THONKICONN6,,
1,X1,KUSBVX-BS1N,KUSBVX-BS1N,"USB B-type Receptacle Vertical, 4 Position, Through Hole",
2,"+5V, JP3",1X03,,PIN HEADER,
1,JP1,2X03,,PIN HEADER,
16,"TM1, TM2, TM3, TM4, TM5, TM6, TM7, TM8, TM9, TM10, TM11, TM12, TM13, TM14, TM15, TM16",SLIDEPOT-45,,Sliding potentiometers,
4,"S1, S2, S3, S4",,,SLIDING SWITCH,
16,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16",LED3MM,,BI-COLOR LED,
1,SV1,ML16,,HARTING,
